time,journal,doi_info,authors,key words,title,abstract
2024 Apr 1,Diabetes,Diabetes. 2024 Apr 1;73(4):604-610. doi: 10.2337/db23-0303.,"['Schweitzer, Noah', 'Son, Sang Joon', 'Aizenstein, Howard', 'Yang, Shaolin', 'Iordanova, Bistra', 'Hong, Chang Hyung', 'Rho, Hyun Woong', 'Cho, Yong Hyuk', 'Park, Bumhee', 'Kim, Na-Rae', 'Choi, Jin Wook', 'Cheong, Jae Youn', 'Seo, Sang Woon', 'An, Young-Sil', 'Moon, So Young', 'Han, Seung Jin', 'Wu, Minjie']","['humans', 'glycated hemoglobin', ' white matter diagnostic imaging pathology', 'magnetic resonance imaging methods', 'longitudinal studies', 'biomarkers', ' diabetes mellitus pathology']",Higher HbA1c Is Associated With Greater 2-Year Progression of White Matter Hyperintensities.,"White matter hyperintensity (WMH) lesions on brain MRI images are surrogate markers of cerebral small vessel disease. Longitudinal studies examining the association between diabetes and WMH progression have yielded mixed results. Thus, in this study, we investigated the association between HbA1c, a biomarker for the presence and severity of hyperglycemia, and longitudinal WMH change after adjusting for known risk factors for WMH progression. We recruited 64 participants from South Korean memory clinics to undergo brain MRI at the baseline and a 2-year follow-up. We found the following. First, higher HbA1c was associated with greater global WMH volume (WMHV) changes after adjusting for known risk factors (β = 7.7 × 10-4; P = 0.025). Second, the association between baseline WMHV and WMHV progression was only significant at diabetic levels of HbA1c (P < 0.05, when HbA1c >6.51%), and non-apolipoprotein E (APOE) ε4 carriers had a stronger association between HbA1c and WMHV progression (β = -2.59 × 10-3; P = 0.004). Third, associations of WMHV progression with HbA1c were particularly apparent for deep WMHV change (β = 7.17 × 10-4; P < 0.01) compared with periventricular WMHV change and, for frontal (β = 5.00 × 10-4; P < 0.001) and parietal (β = 1.53 × 10-4; P < 0.05) lobes, WMHV change compared with occipital and temporal WMHV change. In conclusion, higher HbA1c levels were associated with greater 2-year WMHV progression, especially in non-APOE ε4 participants or those with diabetic levels of HbA1c. These findings demonstrate that diabetes may potentially exacerbate cerebrovascular and white matter disease."
2024 Feb,Alzheimer's & dementia : the journal of the Alzheimer's Association,Alzheimers Dement. 2024 Feb;20(2):914-924. doi: 10.1002/alz.13503. Epub 2023 Oct ,"['Schweitzer, Noah', 'Li, Jinghang', 'Thurston, Rebecca C', 'Lopresti, Brian', 'Klunk, William E', 'Snitz, Beth', 'Tudorascu, Dana', 'Cohen, Ann', 'Kamboh, M Ilyas', 'Halligan-Eddy, Edythe', 'Iordanova, Bistra', 'Villemagne, Victor L', 'Aizenstein, Howard', 'Wu, Minjie']","['male', 'female', 'humans', 'amyloid beta-peptides metabolism', 'brain pathology', ' alzheimer disease pathology', 'amyloid', 'aging', ' cognitive dysfunction pathology', 'positron-emission tomography', 'magnetic resonance imaging', 'hippocampus pathology', ""alzheimer's disease"", 'amyloid beta', 'cerebral small vessel disease', 'hippocampal functional connectivity', 'neural compensation', 'sex', 'white matter hyperintensity']",Sex-dependent alterations in hippocampal connectivity are linked to cerebrovascular and amyloid pathologies in normal aging.,"INTRODUCTION: Compared to males, females have an accelerated trajectory of cognitive decline in Alzheimer's disease (AD). The neurobiological factors underlying the more rapid cognitive decline in AD in females remain unclear. This study explored how sex-dependent alterations in hippocampal connectivity over 2 years are associated with cerebrovascular and amyloid pathologies in normal aging. METHODS: Thirty-three females and 21 males 65 to 93 years of age with no cognitive impairment performed a face-name associative memory functional magnetic resonance imaging (fMRI) task with a 2-year follow-up. We acquired baseline carbon 11-labeled Pittsburgh compound B ([(11) C]PiB) positron emission tomography (PET) and T2-weighted fluid-attenuated inversion recovery (T2-FLAIR) MRI to quantify amyloid β (Aβ) burden and white matter hyperintensity (WMH) volume, respectively. RESULTS: Males had increased hippocampal-prefrontal connectivity over 2 years, associated with greater Aβ burden. Females had increased bilateral hippocampal functional connectivity, associated with greater WMH volume. DISCUSSION: These findings suggest sex-dependent compensatory mechanisms in the memory network in the presence of cerebrovascular and AD pathologies and may explain the accelerated trajectory of cognitive decline in females."
2023 Feb,The American journal of geriatric psychiatry : official journal of the American ,Am J Geriatr Psychiatry. 2023 Feb;31(2):112-123. doi: 10.1016/j.jagp.2022.09.011. ,"['Wu, Minjie', 'Schweitzer, Noah', 'Iordanova, Bistra E', 'Halligan-Eddy, Edythe', 'Tudorascu, Dana L', 'Mathis, Chester A', 'Lopresti, Brian J', 'Kamboh, M Ilyas', 'Cohen, Ann D', 'Snitz, Beth E', 'Klunk, William E', 'Aizenstein, Howard J']","['humans', 'female', 'aged', 'aged, 80 and over', 'male', 'cross-sectional studies', ' hippocampus diagnostic imaging pathology', 'brain metabolism', 'amyloid beta-peptides metabolism', 'magnetic resonance imaging', 'atrophy pathology', ' alzheimer disease diagnostic imaging pathology', ""alzheimer's disease"", 'amyloid-beta', 'atrophy', 'cerebral small vessel disease', 'functional connectivity']",In Pre-Clinical AD Small Vessel Disease is Associated With Altered Hippocampal Connectivity and Atrophy.,"OBJECTIVE: Small Vessel Disease (SVD) is known to be associated with higher AD risk, but its relationship to amyloidosis in the progression of AD is unclear. In this cross-sectional study of cognitively normal older adults, we explored the interactive effects of SVD and amyloid-beta (Aβ) pathology on hippocampal functional connectivity during an associative encoding task and on hippocampal volume. METHODS: This study included 61 cognitively normal older adults (age range: 65-93 years, age mean ± standard deviation: 75.8 ± 6.4, 41 [67.2%] female). PiB PET, T2-weighted FLAIR, T1-weighted and face-name fMRI images were acquired on each participant to evaluate brain Aβ, white matter hyperintensities (WMH+/- status), gray matter density, and hippocampal functional connectivity. RESULTS: We found that, in WMH (+) older adults greater Aβ burden was associated with greater hippocampal local connectivity (i.e., hippocampal-parahippocampal connectivity) and lower gray matter density in medial temporal lobe (MTL), whereas in WMH (-) older adults greater Aβ burden was associated with greater hippocampal distal connectivity (i.e., hippocampal-prefrontal connectivity) and no changes in MTL gray matter density. Moreover, greater hippocampal local connectivity was associated with MTL atrophy. CONCLUSION: These observations support a hippocampal excitotoxicity model linking SVD to neurodegeneration in preclinical AD. This may explain how SVD may accelerate the progression from Aβ positivity to neurodegeneration, and subsequent AD."
2022 Dec,Journal of cerebral blood flow and metabolism : official journal of the ,J Cereb Blood Flow Metab. 2022 Dec;42(12):2255-2269. doi: ,"['Oghifobibi, Onome A', 'Toader, Andrew E', 'Nicholas, Melissa A', 'Nelson, Brittany P', 'Alindogan, Nicole G', 'Wolf, Michael S', 'Kline, Anthony E', 'Nouraie, Seyed M', 'Bondi, Corina O', 'Iordanova, Bistra', 'Clark, Robert Sb', 'Bayır, Hülya', 'Loughran, Patricia A', 'Watkins, Simon C', 'St Croix, Claudette M', 'Kochanek, Patrick M', 'Vazquez, Alberto L', 'Manole, Mioara D']","['animals', 'rats', 'microscopy', 'cerebrovascular circulation physiology', ' heart arrest drug therapy complications', 'epinephrine pharmacology therapeutic use', 'resuscitation', ' cardiopulmonary resuscitation', 'cpr', 'capillary stalling', 'brain', 'capillary stasis', 'vasoconstriction']",Resuscitation with epinephrine worsens cerebral capillary no-reflow after experimental pediatric cardiac arrest: An in vivo multiphoton microscopy evaluation.,"Epinephrine is the principal resuscitation therapy for pediatric cardiac arrest (CA). Clinical data suggest that although epinephrine increases the rate of resuscitation, it fails to improve neurological outcome, possibly secondary to reductions in microvascular flow. We characterized the effect of epinephrine vs. placebo administered at resuscitation from pediatric asphyxial CA on microvascular and macrovascular cortical perfusion assessed using in vivo multiphoton microscopy and laser speckle flowmetry, respectively, and on brain tissue oxygenation (PbO(2)), behavioral outcomes, and neuropathology in 16-18-day-old rats. Epinephrine-treated rats had a more rapid return of spontaneous circulation and brisk immediate cortical reperfusion during 1-3 min post-CA vs. placebo. However, at the microvascular level, epinephrine-treated rats had penetrating arteriole constriction and increases in both capillary stalling (no-reflow) and cortical capillary transit time 30-60 min post-CA vs. placebo. Placebo-treated rats had increased capillary diameters post-CA. The cortex was hypoxic post-CA in both groups. Epinephrine treatment worsened reference memory performance vs. shams. Hippocampal neuron counts did not differ between groups. Resuscitation with epinephrine enhanced immediate reperfusion but produced microvascular alterations during the first hour post-resuscitation, characterized by vasoconstriction, capillary stasis, prolonged cortical transit time, and absence of compensatory cortical vasodilation. Targeted therapies mitigating the deleterious microvascular effects of epinephrine are needed."
2021 Jun 7,Nature communications,Nat Commun. 2021 Jun 7;12(1):3416. doi: 10.1038/s41467-021-23762-0.,"['Fitz, Nicholas F', 'Nam, Kyong Nyon', 'Wolfe, Cody M', 'Letronne, Florent', 'Playso, Brittany E', 'Iordanova, Bistra E', 'Kozai, Takashi D Y', 'Biedrzycki, Richard J', 'Kagan, Valerian E', 'Tyurina, Yulia Y', 'Han, Xianlin', 'Lefterov, Iliya', 'Koldamova, Radosveta']","['aged', 'aged, 80 and over', 'alzheimer disease genetics  pathology', 'amyloid beta-protein precursor genetics metabolism', 'animals', 'apolipoprotein e3 administration & dosage genetics  metabolism', 'apolipoprotein e4 administration & dosage genetics  metabolism', 'brain cytology  pathology', 'disease models, animal', 'female', 'humans', 'male', 'membrane glycoproteins genetics metabolism', 'mice', 'mice, transgenic', 'microglia  pathology', 'mutation', 'phospholipids metabolism', 'presenilin-1 genetics', 'protein isoforms genetics metabolism', 'rna-seq', 'receptors, immunologic genetics metabolism']",Phospholipids of APOE lipoproteins activate microglia in an isoform-specific manner in preclinical models of Alzheimer's disease.,"APOE and Trem2 are major genetic risk factors for Alzheimer's disease (AD), but how they affect microglia response to Aβ remains unclear. Here we report an APOE isoform-specific phospholipid signature with correlation between human APOEε3/3 and APOEε4/4 AD brain and lipoproteins from astrocyte conditioned media of APOE3 and APOE4 mice. Using preclinical AD mouse models, we show that APOE3 lipoproteins, unlike APOE4, induce faster microglial migration towards injected Aβ, facilitate Aβ uptake, and ameliorate Aβ effects on cognition. Bulk and single-cell RNA-seq demonstrate that, compared to APOE4, cortical infusion of APOE3 lipoproteins upregulates a higher proportion of genes linked to an activated microglia response, and this trend is augmented by TREM2 deficiency. In vitro, lack of TREM2 decreases Aβ uptake by APOE4-treated microglia only, suggesting TREM2-APOE interaction. Our study elucidates phenotypic and transcriptional differences in microglial response to Aβ mediated by APOE3 or APOE4 lipoproteins in preclinical models of AD."
2021 Jan 15,NeuroImage,Neuroimage. 2021 Jan 15;225:117457. doi: 10.1016/j.neuroimage.2020.117457. Epub ,"['Poplawsky, Alexander John', 'Iordanova, Bistra', 'Vazquez, Alberto L', 'Kim, Seong-Gi', 'Fukuda, Mitsuhiro']","['amino acid transport system x-ag antagonists & inhibitors', 'animals', 'brain  diagnostic imaging physiology', 'cerebrovascular circulation drug effects  physiology', 'electric stimulation', 'functional neuroimaging', 'gaba-b receptor agonists', 'gabaergic neurons drug effects  physiology', 'laser-doppler flowmetry', 'magnetic resonance imaging', 'neural inhibition', 'neurovascular coupling drug effects  physiology', 'nitric oxide synthase antagonists & inhibitors', 'olfactory bulb cytology', 'rats', 'receptors, ampa antagonists & inhibitors', 'receptors, n-methyl-d-aspartate antagonists & inhibitors', 'receptors, vasoactive intestinal peptide antagonists & inhibitors', 'bold', 'cbf', 'cbv', 'gabaergic neurons', 'neurovascular coupling']",Postsynaptic activity of inhibitory neurons evokes hemodynamic fMRI responses.,"Functional MRI responses are localized to the synaptic sites of evoked inhibitory neurons, but it is unknown whether, or by what mechanisms, these neurons initiate functional hyperemia. Here, the neuronal origins of these hemodynamic responses were investigated by fMRI or local field potential and blood flow measurements during topical application of pharmacological agents when GABAergic granule cells in the rat olfactory bulb were synaptically targeted. First, to examine if postsynaptic activation of these inhibitory neurons was required for neurovascular coupling, we applied an NMDA receptor antagonist during cerebral blood volume-weighted fMRI acquisition and found that responses below the drug application site (up to ~1.5 mm) significantly decreased within ~30 min. Similarly, large decreases in granule cell postsynaptic activities and blood flow responses were observed when AMPA or NMDA receptor antagonists were applied. Second, inhibition of nitric oxide synthase preferentially decreased the initial, fast component of the blood flow response, while inhibitors of astrocyte-specific glutamate transporters and vasoactive intestinal peptide receptors did not decrease blood flow responses. Third, inhibition of GABA release with a presynaptic GABA(B) receptor agonist caused less reduction of neuronal and blood flow responses compared to the postsynaptic glutamate receptor antagonists. In conclusion, local hyperemia by synaptically-evoked inhibitory neurons was primarily driven by their postsynaptic activities, possibly through NMDA receptor-dependent calcium signaling that was not wholly dependent on nitric oxide."
2018 Aug,Magnetic resonance in medicine,Magn Reson Med. 2018 Aug;80(2):488-495. doi: 10.1002/mrm.27183. Epub 2018 Mar 23.,"['Jin, Tao', 'Iordanova, Bistra', 'Hitchens, T Kevin', 'Modo, Michel', 'Wang, Ping', 'Mehrens, Hunter', 'Kim, Seong-Gi']","['animals', ' brain diagnostic imaging metabolism', 'brain chemistry', ' brain neoplasms diagnostic imaging metabolism', 'deoxyglucose administration & dosage analysis  pharmacokinetics', 'glucose administration & dosage analysis  pharmacokinetics', 'image interpretation, computer-assisted', 'magnetic resonance imaging  methods', 'male', 'rats', 'rats, inbred f344', 'cesl', 'cest', 'brain tumor', 'glucose and analogs', 'uptake and metabolism', 'vascular permeability']",Chemical exchange-sensitive spin-lock (CESL) MRI of glucose and analogs in brain tumors.,"PURPOSE: Glucose uptake and metabolism can be measured by chemical exchange-sensitive spin-lock (CESL) MRI with an administration of glucose or its analogs. This study investigates the sensitivity, the spatiotemporal characteristics, and the signal source of glucoCESL with a 9L rat brain tumor model. METHODS: Dynamic CESL MRI with intravenous injection of D-glucose, 2-deoxy-D-glucose (2DG), and L-glucose were measured and compared with gadolinium-based dynamic contrast-enhanced (DCE) MRI. RESULTS: The CESL signals with an injection of glucose or analogs have faster and larger changes in tumors than normal brain tissue. In tumors, the CESL signal with 2DG injection has larger and slower peak response than that with D-glucose due to the accumulation of 2DG and 2DG-6-phosphate in the intracellular compartment, whereas L-glucose, which cannot be transported intracellularly by glucose transporters, only induces a small change. The initial glucoCESL maps (< 4 minutes) are qualitatively similar to DCE maps, whereas later maps (> 4 minutes) show more widespread responses. The rise times of D-glucose-CESL and 2DG-CESL signals in the tumor are slower than that of DCE. Our data suggest that the initial CESL contrast primarily reflects a passive increase of glucose content in the extracellular space of tumors due to a higher vascular permeability, whereas the later period may have a significant contribution from the uptake/metabolism of glucose in the intracellular compartment. CONCLUSIONS: Our results demonstrate that glucoCESL MRI has both extracellular and intracellular contributions, and can be a useful tool for measurements of both vascular permeability and glucose uptake in tumors."
2018 Apr,Journal of cerebral blood flow and metabolism : official journal of the ,J Cereb Blood Flow Metab. 2018 Apr;38(4):627-640. doi: 10.1177/0271678X18755225. ,"['Iordanova, Bistra', 'Vazquez, Alberto', 'Kozai, Takashi Dy', 'Fukuda, Mitsuhiro', 'Kim, Seong-Gi']","['animals', 'blood vessels  innervation  physiology ultrastructure', 'corpus callosum physiology', 'electric stimulation', 'functional laterality physiology', 'hemodynamics', 'hyperemia physiopathology', 'male', 'muscle, smooth, vascular cytology innervation', 'neurons  physiology ultrastructure', 'neurovascular coupling  physiology', 'optogenetics  methods', 'oxygen consumption physiology', 'photic stimulation', 'rats', 'rats, sprague-dawley', 'neurovascular', 'interhemispheric', 'neurometabolic', 'optogenetic', 'somatosensory']",Optogenetic investigation of the variable neurovascular coupling along the interhemispheric circuits.,"The interhemispheric circuit connecting the left and the right mammalian brain plays a key role in integration of signals from the left and the right side of the body. The information transfer is carried out by modulation of simultaneous excitation and inhibition. Hemodynamic studies of this circuit are inconsistent since little is known about neurovascular coupling of mixed excitatory and inhibitory signals. We investigated the variability in hemodynamic responses driven by the interhemispheric circuit during optogenetic and somatosensory activation. We observed differences in the neurovascular response based on the stimulation site - cell bodies versus distal projections. In half of the experiments, optogenetic stimulation of the cell bodies evoked a predominant post-synaptic inhibition in the other hemisphere, accompanied by metabolic oxygen consumption without coupled functional hyperemia. When the same transcallosal stimulation resulted in predominant post-synaptic excitation, the hemodynamic response was biphasic, consisting of metabolic dip followed by functional hyperemia. Optogenetic suppression of the postsynaptic excitation abolished the coupled functional hyperemia. In contrast, light stimulation at distal projections evoked consistently a metabolic response. Our findings suggest that functional hyperemia requires signals originating from the cell body and the hemodynamic response variability appears to reflect the balance between the post-synaptic excitation and inhibition."
2017,Frontiers in pediatrics,Front Pediatr. 2017 Aug 16;5:174. doi: 10.3389/fped.2017.00174. eCollection 2017.,"['Iordanova, Bistra', 'Li, Lingjue', 'Clark, Robert S B', 'Manole, Mioara D']","['arterial spin labeling', 'cardiac arrest', 'cerebral blood flow', 'cerebral perfusion', 'hyperemia', 'hypoperfusion', 'post-cardiac arrest syndrome', 'transcrianial doppler']",Alterations in Cerebral Blood Flow after Resuscitation from Cardiac Arrest.,"Greater than 50% of patients successfully resuscitated from cardiac arrest have evidence of neurological disability. Numerous studies in children and adults, as well as in animal models have demonstrated that cerebral blood flow (CBF) is impaired after cardiac arrest. Stages of cerebral perfusion post-resuscitation include early hyperemia, followed by hypoperfusion, and finally either resolution of normal blood flow or protracted hyperemia. At the level of the microcirculation the blood flow is heterogeneous, with areas of no flow, low flow, and increased flow. CBF directed therapies in animal models of cardiac arrest improved neurological outcome, and therefore, the alterations in CBF after cardiac arrest likely contribute to the development of hypoxic ischemic encephalopathy. Current intensive care after cardiac arrest is centered upon maintaining systemic oxygenation, normal blood pressure values for age, maintaining general homeostasis, and avoiding hyperthermia. Assessment of CBF and oxygenation is not routinely performed after cardiac arrest. Currently available and underutilized techniques to assess cerebral perfusion include transcranial doppler, near-infrared spectroscopy, and arterial spin labeling magnetic resonance imaging. Limited clinical studies established the role of CBF and oxygenation monitoring in prognostication after cardiac arrest and few studies suggest that guiding critical care post-resuscitation to mean arterial pressures above the minimal autoregulatory range might improve outcome. Important knowledge gaps thus remain in cerebral monitoring and CBF and oxygen goal-directed therapies post-resuscitation from cardiac arrest."
2015 Jun,Journal of cerebral blood flow and metabolism : official journal of the ,J Cereb Blood Flow Metab. 2015 Jun;35(6):922-32. doi: 10.1038/jcbfm.2015.10. Epub ,"['Iordanova, Bistra', 'Vazquez, Alberto L', 'Poplawsky, Alexander J', 'Fukuda, Mitsuhiro', 'Kim, Seong-Gi']","['animals', 'cerebrovascular circulation', 'channelrhodopsins', 'gene expression', ' hemodynamics', 'magnetic resonance imaging', 'male', 'neurons cytology metabolism', 'optogenetics', 'oxygen blood', 'rats', 'rats, sprague-dawley', 'somatosensory cortex  blood supply cytology  physiology']",Neural and hemodynamic responses to optogenetic and sensory stimulation in the rat somatosensory cortex.,"Introducing optogenetics into neurovascular research can provide novel insights into the cell-specific control of the hemodynamic response. To generalize findings from molecular approaches, it is crucial to determine whether light-activated circuits have the same effect on the vasculature as sensory-activated ones. For that purpose, rats expressing channelrhodopsin (ChR2) specific to excitatory glutamatergic neurons were used to measure neural activity, blood flow, hemoglobin-based optical intrinsic signal, and blood oxygenation level-dependent (BOLD) functional magnetic resonance imaging (fMRI) during optogenetic and sensory stimulation. The magnitude of the evoked hemodynamic responses was monotonically correlated with optogenetic stimulus strength. The BOLD hemodynamic response function was consistent for optogenetic and sensory stimuli. The relationship between electrical activities and hemodynamic responses was comparable for optogenetic and sensory stimuli, and better explained by the local field potential (LFP) than the firing rate. The LFP was well correlated with cerebral blood flow, moderately with cerebral blood volume, and less with deoxyhemoglobin (dHb) level. The presynaptic firing rate had little impact on evoking vascular response. Contribution of the postsynaptic LFP to the blood flow response induced by optogenetic stimulus was further confirmed by the application of glutamate receptor antagonists. Overall, neurovascular coupling during optogenetic control of glutamatergic neurons largely conforms to that of a sensory stimulus."
