time,journal,doi_info,authors,key words,title,abstract
2023 Dec 15,STAR protocols,STAR Protoc. 2023 Dec 15;4(4):102736. doi: 10.1016/j.xpro.2023.102736. Epub 2023 ,"['Chan, Jeremy K', 'Gwynne, William D', 'Lieng, Brandon Y', 'Quaile, Andrew T', 'Venugopal, Chitra', 'Singh, Sheila K', 'Montenegro-Burke, J Rafael']","['humans', 'lipidomics', 'liquid chromatography-mass spectrometry', 'chromatography, liquid methods', ' medulloblastoma', 'metabolome', ' cerebellar neoplasms', 'cancer', 'mass spectrometry', 'metabolomics']",Protocol for mapping the metabolome and lipidome of medulloblastoma cells using liquid chromatography-mass spectrometry.,"Liquid chromatography-mass spectrometry (LC-MS)-based metabolomics and lipidomics have recently been used to show that MYC-amplified group 3 medulloblastoma tumors are driven by metabolic reprogramming. Here, we present a protocol to extract metabolites and lipids from human medulloblastoma brain tumor-initiating cells and normal neural stem cells. We describe untargeted LC-MS methods that can be used to achieve extensive coverage of the polar metabolome and lipidome. Finally, we detail strategies for metabolite identification and data analysis. For complete details on the use and execution of this protocol, please refer to Gwynne et al.(1)."
2023 Nov 28,Analytical chemistry,Anal Chem. 2023 Nov 28;95(47):17284-17291. doi: 10.1021/acs.analchem.3c03343. ,"['Lieng, Brandon Y', 'Quaile, Andrew T', 'Domingo-Almenara, Xavier', 'Röst, Hannes L', 'Montenegro-Burke, J Rafael']","[' tandem mass spectrometry methods', ' metabolomics methods', 'databases, factual', 'ions chemistry', 'workflow']",Computational Expansion of High-Resolution-MS(n) Spectral Libraries.,"Commonly, in MS-based untargeted metabolomics, some metabolites cannot be confidently identified due to ambiguities in resolving isobars and structurally similar species. To address this, analytical techniques beyond traditional MS(2) analysis, such as MS(n) fragmentation, can be applied to probe metabolites for additional structural information. In MS(n) fragmentation, recursive cycles of activation are applied to fragment ions originating from the same precursor ion detected on an MS(1) spectrum. This resonant-type collision-activated dissociation (CAD) can yield information that cannot be ascertained from MS(2) spectra alone, which helps improve the performance of metabolite identification workflows. However, most approaches for metabolite identification require mass-to-charge (m/z) values measured with high resolution, as this enables the determination of accurate mass values. Unfortunately, high-resolution-MS(n) spectra are relatively rare in spectral libraries. Here, we describe a computational approach to generate a database of high-resolution-MS(n) spectra by converting existing low-resolution-MS(n) spectra using complementary high-resolution-MS(2) spectra generated by beam-type CAD. Using this method, we have generated a database, derived from the NIST20 MS/MS database, of MS(n) spectral trees representing 9637 compounds and 19386 precursor ions where at least 90% of signal intensity was converted from low-to-high resolution."
2022 Dec 12,Cancer cell,Cancer Cell. 2022 Dec 12;40(12):1488-1502.e7. doi: 10.1016/j.ccell.2022.10.009. ,"['Gwynne, William D', 'Suk, Yujin', 'Custers, Stefan', 'Mikolajewicz, Nicholas', 'Chan, Jeremy K', 'Zador, Zsolt', 'Chafe, Shawn C', 'Zhai, Kui', 'Escudero, Laura', 'Zhang, Cunjie', 'Zaslaver, Olga', 'Chokshi, Chirayu', 'Shaikh, Muhammad Vaseem', 'Bakhshinyan, David', 'Burns, Ian', 'Chaudhry, Iqra', 'Nachmani, Omri', 'Mobilio, Daniel', 'Maich, William T', 'Mero, Patricia', 'Brown, Kevin R', 'Quaile, Andrew T', 'Venugopal, Chitra', 'Moffat, Jason', 'Montenegro-Burke, J Rafael', 'Singh, Sheila K']","['child', 'humans', ' medulloblastoma drug therapy genetics metabolism', 'dihydroorotate dehydrogenase', 'cell line, tumor', 'neoplasm recurrence, local', 'pyrimidines therapeutic use', ' cerebellar neoplasms drug therapy genetics metabolism', 'dhodh', 'brain tumor initiating cells', 'c-myc', 'medulloblastoma', 'metabolic reprogramming', 'pyrimidine metabolism']",Cancer-selective metabolic vulnerabilities in MYC-amplified medulloblastoma.,"MYC-driven medulloblastoma (MB) is an aggressive pediatric brain tumor characterized by therapy resistance and disease recurrence. Here, we integrated data from unbiased genetic screening and metabolomic profiling to identify multiple cancer-selective metabolic vulnerabilities in MYC-driven MB tumor cells, which are amenable to therapeutic targeting. Among these targets, dihydroorotate dehydrogenase (DHODH), an enzyme that catalyzes de novo pyrimidine biosynthesis, emerged as a favorable candidate for therapeutic targeting. Mechanistically, DHODH inhibition acts on target, leading to uridine metabolite scarcity and hyperlipidemia, accompanied by reduced protein O-GlcNAcylation and c-Myc degradation. Pyrimidine starvation evokes a metabolic stress response that leads to cell-cycle arrest and apoptosis. We further show that an orally available small-molecule DHODH inhibitor demonstrates potent mono-therapeutic efficacy against patient-derived MB xenografts in vivo. The reprogramming of pyrimidine metabolism in MYC-driven medulloblastoma represents an unappreciated therapeutic strategy and a potential new class of treatments with stronger cancer selectivity and fewer neurotoxic sequelae."
2022 Dec 20,mBio,mBio. 2022 Dec 20;13(6):e0273022. doi: 10.1128/mbio.02730-22. Epub 2022 Oct 27.,"['Puumala, Emily', 'Zaslaver, Olga', 'Chen, Amy', 'Duncan, Dustin', 'Fogal, Meea', 'Shapiro, Rebecca S', 'Mazhab-Jafari, Mohammad T', 'Whitesell, Luke', 'Montenegro-Burke, J Rafael', 'Robbins, Nicole', 'Cowen, Leah E']","[' antifungal agents pharmacology', ' isoxazoles metabolism', 'candida', 'saccharomyces cerevisiae', 'homeostasis', 'lipids', 'microbial sensitivity tests', 'candida albicans', 'candida auris', 'hal9', 'hsp12', 'pathogen box', 'experimental evolution', 'fungal pathogen', 'lipid homeostasis']",The Trisubstituted Isoxazole MMV688766 Exerts Broad-Spectrum Activity against Drug-Resistant Fungal Pathogens through Inhibition of Lipid Homeostasis.,"Candida species are among the most prevalent causes of systemic fungal infection, posing a growing threat to public health. While Candida albicans is the most common etiological agent of systemic candidiasis, the frequency of infections caused by non-albicans Candida species is rising. Among these is Candida auris, which has emerged as a particular concern. Since its initial discovery in 2009, it has been identified worldwide and exhibits resistance to all three principal antifungal classes. Here, we endeavored to identify compounds with novel bioactivity against C. auris from the Medicines for Malaria Venture's Pathogen Box library. Of the five hits identified, the trisubstituted isoxazole MMV688766 emerged as the only compound displaying potent fungicidal activity against C. auris, as well as other evolutionarily divergent fungal pathogens. Chemogenomic profiling, as well as subsequent metabolomic and phenotypic analyses, revealed that MMV688766 disrupts cellular lipid homeostasis, driving a decrease in levels of early sphingolipid intermediates and fatty acids and a concomitant increase in lysophospholipids. Experimental evolution to further probe MMV688766's mode of action in the model fungus Saccharomyces cerevisiae revealed that loss of function of the transcriptional regulator HAL9 confers resistance to MMV688766, in part through the upregulation of the lipid-binding chaperone HSP12, a response that appears to assist in tolerating MMV688766-induced stress. The novel mode of action we have uncovered for MMV688766 against drug-resistant fungal pathogens highlights the broad utility of targeting lipid homeostasis to disrupt fungal growth and how screening structurally-diverse chemical libraries can provide new insights into resistance-conferring stress responses of fungi. IMPORTANCE As widespread antimicrobial resistance threatens to propel the world into a postantibiotic era, there is a pressing need to identify mechanistically distinct antimicrobial agents. This is of particular concern when considering the limited arsenal of drugs available to treat fungal infections, coupled with the emergence of highly drug-resistant fungal pathogens, including Candida auris. In this work, we demonstrate that existing libraries of drug-like chemical matter can be rich resources for antifungal molecular scaffolds. We discovered that the small molecule MMV688766, from the Pathogen Box library, displays previously undescribed broad-spectrum fungicidal activity through perturbation of lipid homeostasis. Characterization of the mode of action of MMV688766 provided new insight into the protective mechanisms fungi use to cope with the disruption of lipid homeostasis. Our findings highlight that elucidating the genetic circuitry required to survive in the presence of cellular stress offers powerful insights into the biological pathways that govern this important phenotype."
2022 Aug 16,Metabolites,Metabolites. 2022 Aug 16;12(8):749. doi: 10.3390/metabo12080749.,"['Guijas, Carlos', 'To, Andrew', 'Montenegro-Burke, J Rafael', 'Domingo-Almenara, Xavier', 'Alipio-Gloria, Zaida', 'Kok, Bernard P', 'Saez, Enrique', 'Alvarez, Nicole H', 'Johnson, Kristen A', 'Siuzdak, Gary']","['activity metabolomics', 'brown adipose tissue', 'metabolomics', 'myristoylglycine', 'obesity', 'white adipose tissue', 'zafirlukast']",Drug-Initiated Activity Metabolomics Identifies Myristoylglycine as a Potent Endogenous Metabolite for Human Brown Fat Differentiation.,"Worldwide, obesity rates have doubled since the 1980s and in the USA alone, almost 40% of adults are obese, which is closely associated with a myriad of metabolic diseases such as type 2 diabetes and arteriosclerosis. Obesity is derived from an imbalance between energy intake and consumption, therefore balancing energy homeostasis is an attractive target for metabolic diseases. One therapeutic approach consists of increasing the number of brown-like adipocytes in the white adipose tissue (WAT). Whereas WAT stores excess energy, brown adipose tissue (BAT) can dissipate this energy overload in the form of heat, increasing energy expenditure and thus inhibiting metabolic diseases. To facilitate BAT production a high-throughput screening approach was developed on previously known drugs using human Simpson-Golabi-Behmel Syndrome (SGBS) preadipocytes. The screening allowed us to discover that zafirlukast, an FDA-approved small molecule drug commonly used to treat asthma, was able to differentiate adipocyte precursors and white-biased adipocytes into functional brown adipocytes. However, zafirlukast is toxic to human cells at higher dosages. Drug-Initiated Activity Metabolomics (DIAM) was used to investigate zafirlukast as a BAT inducer, and the endogenous metabolite myristoylglycine was then discovered to mimic the browning properties of zafirlukast without impacting cell viability. Myristoylglycine was found to be bio-synthesized upon zafirlukast treatment and was unique in inducing brown adipocyte differentiation, raising the possibility of using endogenous metabolites and bypassing the exogenous drugs to potentially alleviate disease, in this case, obesity and other related metabolic diseases."
2022 Oct,Nature chemical biology,Nat Chem Biol. 2022 Oct;18(10):1162. doi: 10.1038/s41589-022-01146-9.,"['Masud, Sanna N', 'Chandrashekhar, Megha', 'Aregger, Michael', 'Tan, Guihong', 'Zhang, Xiaoyu', 'Mero, Patricia', 'Pirman, David A', 'Zaslaver, Olga', 'Smolen, Gromoslaw A', 'Lin, Zhen-Yuan', 'Wong, Cassandra J', 'Boone, Charles', 'Gingras, Anne-Claude', 'Montenegro-Burke, J Rafael', 'Moffat, Jason']",[],Author Correction: Chemical genomics with pyrvinium identifies C1orf115 as a regulator of drug efflux.,
2022 Dec,Nature chemical biology,Nat Chem Biol. 2022 Dec;18(12):1370-1379. doi: 10.1038/s41589-022-01109-0. Epub ,"['Masud, Sanna N', 'Chandrashekhar, Megha', 'Aregger, Michael', 'Tan, Guihong', 'Zhang, Xiaoyu', 'Mero, Patricia', 'Pirman, David A', 'Zaslaver, Olga', 'Smolen, Gromoslaw A', 'Lin, Zhen-Yuan', 'Wong, Cassandra J', 'Boone, Charles', 'Gingras, Anne-Claude', 'Montenegro-Burke, J Rafael', 'Moffat, Jason']","['humans', ' pyrvinium compounds pharmacology', 'wnt signaling pathway', ' antineoplastic agents pharmacology', 'genomics']",Chemical genomics with pyrvinium identifies C1orf115 as a regulator of drug efflux.,"Pyrvinium is a quinoline-derived cyanine dye and an approved anti-helminthic drug reported to inhibit WNT signaling and have anti-proliferative effects in various cancer cell lines. To further understand the mechanism by which pyrvinium is cytotoxic, we conducted a pooled genome-wide CRISPR loss-of-function screen in the human HAP1 cell model. The top drug-gene sensitizer interactions implicated the malate-aspartate and glycerol-3-phosphate shuttles as mediators of cytotoxicity to mitochondrial complex I inhibition including pyrvinium. By contrast, perturbation of the poorly characterized gene C1orf115/RDD1 resulted in strong resistance to the cytotoxic effects of pyrvinium through dysregulation of the major drug efflux pump ABCB1/MDR1. Interestingly, C1orf115/RDD1 was found to physically associate with ABCB1/MDR1 through proximity-labeling experiments and perturbation of C1orf115 led to mis-localization of ABCB1/MDR1. Our results are consistent with a model whereby C1orf115 modulates drug efflux through regulation of the major drug exporter ABCB1/MDR1."
