year,Medical Imaging,Stem Cell Engineering,Clinical Medicine,Genetics,Cancer Research,Drug Delivery,Public Health,Neurology,Tissue Engineering,Animal Model,Epidemiology,Cell Biologies,Bone Marrow Regeneration,Brain Machine Interface,Spinal Injury & Rehabilitation,Musculoskeletal Regeneration,Machine Learning,Covid-19,Aging,Cardiac Engineering
2014.0,50.29367087673148,461.7764182054828,114.96102863122071,273.19175630233616,165.83255949683237,236.50942277436613,94.09786142451026,152.10501795303242,195.43836730485023,300.3435755267542,29.91939948522955,297.74023514765713,103.64235347576397,117.11426774218852,84.17604224102526,128.55156060854432,236.84166533215725,110.82325599618214,142.5779881198262,214.63771438281046
2015.0,55.69865069290526,534.4601696119304,129.1187467075229,383.35450004545186,198.80083820463804,257.55069406794445,101.1825232507033,163.44035768943056,214.4076985863956,344.35968591060504,28.98511801594423,322.8704772989294,110.1758991509929,169.54284133532389,80.12152207470115,102.79687187442336,244.59929743190608,169.67054375683057,154.11452605215723,222.78145846243368
2016.0,63.565583167242266,659.4193180793835,201.8408052731908,418.29155139130603,289.33251078402236,322.3859882254126,139.5887133182725,227.85886861830565,309.1021369010622,382.0179867790302,41.496473514556406,365.9685330646584,89.718213518867,218.2610129419339,131.18119107955184,151.28263921809662,334.1785037505809,176.22183592714902,182.06106373950718,338.19542899053346
2017.0,72.67306935158214,675.2703953843044,233.66027789895168,510.0203900934826,272.8936136572973,366.6736360950427,154.78205044332006,205.94278744554012,286.81700122838123,448.2693317992095,47.184518463155996,418.7530924277608,112.66082516444203,221.04060218625588,118.41619165260438,126.74943330195549,324.88278396905235,200.4858793539567,210.5227378760428,309.89458916654235
2018.0,74.50995378261987,720.1467066706217,257.6031581980332,537.4340518810865,329.9456742650592,421.6887496087557,230.62061729327883,240.6183557453122,298.9509463950576,464.5761441268016,52.948090570658685,562.5279358525811,136.52551114801452,283.52466205446524,139.07008790444618,143.7330517022475,474.87412232170414,237.80065562286416,216.4797718729342,336.4186232350962
2019.0,90.06877591369165,832.5317350315385,266.6025102309446,622.759293213096,356.82296108106135,468.8676704899725,238.86336670658443,252.01581192660086,354.25154908713404,589.6011915875489,81.95111745062745,514.1545296503039,158.35274764294044,313.67699029559526,158.55854505140647,159.9528727889786,500.75561792226733,248.0630641369834,269.7466963433305,411.9787511327933
2020.0,99.03541090883965,997.1836738965694,336.1455374371425,635.097287067193,461.60479280957674,525.8634686796307,287.99031565571295,319.2148643011171,423.6013470371555,673.1364660197527,102.6850695821988,788.8609769027979,172.86692208117975,366.8609715600527,198.1655886261816,196.15519232638832,599.2913617252399,984.3951015378292,312.22595596326624,442.42594419668796
2021.0,110.52356303444886,1218.508595713848,565.2010317898489,1242.9472991977327,404.15762608634304,583.8990320200398,612.8027058660409,346.9093213216837,433.6931287826606,688.8841448710012,143.18030640980265,586.293776265664,132.74183757608378,399.5838924999693,195.41895420702858,206.7227829763101,977.6196877536491,739.3127015893401,477.7419495350659,415.860140170722
2022.0,112.91239246501362,924.3386425866187,394.8086539617016,570.6101260493866,404.2059800297504,550.7763171355843,315.44373989944876,331.56085007360986,351.1956107245085,694.0328608848564,92.66216428254634,538.7707058330474,131.3420543700899,420.2343894001865,232.9003744342077,166.5810122800488,703.0904523107016,620.2615662882631,452.7201265544867,439.45965756381247
2023.0,123.40029817060498,950.5546802145734,440.37518493143335,685.125559994134,431.89558058532504,550.2317074892484,346.01780495883366,367.5921822641926,397.2127559886102,734.6496669064376,117.1737621438026,647.2676406616386,143.54034261067423,443.1061186177317,273.69547415543326,200.13516503313429,768.2294221893055,494.2363481930482,430.98859445295057,402.37094563904014
