topic,significance
Medical Imaging,852.6813683636798
Stem Cell Engineering,7974.190335394871
Clinical Medicine,2940.3169350599906
Genetics,5878.831815235206
Cancer Research,3315.492136999906
Drug Delivery,4284.446686585997
Public Health,2521.3896988167057
Neurology,2607.258417338825
Tissue Engineering,3264.6705420358157
Animal Model,5319.871054411997
Epidemiology,738.1860199185227
Cell Biologies,5043.207903105038
Bone Marrow Regeneration,1291.5667067390486
Brain Machine Interface,2952.945748633703
Spinal Injury & Rehabilitation,1611.7039714265863
Musculoskeletal Regeneration,1582.6605821101275
Machine Learning,5164.362914706564
Covid-19,3981.2709524024467
Aging,2849.1794105095673
Cardiac Engineering,3534.023252940472
