university,Medical Imaging,Stem Cell Engineering,Clinical Medicine,Genetics,Cancer Research,Drug Delivery,Public Health,Neurology,Tissue Engineering,Animal Model,Epidemiology,Cell Biologies,Bone Marrow Regeneration,Brain Machine Interface,Spinal Injury & Rehabilitation,Musculoskeletal Regeneration,Machine Learning,Covid-19,Aging,Cardiac Engineering
Carnegie_Mellon_University,240.5990412306961,1735.549257247561,564.3926592457015,356.09765334322185,128.49867509649337,2790.768749851776,727.6122055154676,3046.7759646557997,1492.6826770132352,1018.624297148173,114.04284570090839,965.1974705633578,212.41255668734814,1884.2029442518678,621.3313772873577,336.09863493615535,2369.5612588259623,3898.4019154565217,422.0569223714148,866.3561916758083
Columbia_University,1093.0425521060547,7473.8560780567905,2710.494959069839,4660.089601354823,3401.5286732072236,3889.2441198414663,2057.5933343351326,2729.8523518766197,5174.16048899061,6565.087937022479,550.0108690400361,4628.1918666116235,3785.4628490200184,3700.8603376670485,918.8637883652528,2922.603307684047,4170.651272843337,2427.2574210018533,1612.6244858064676,4706.894726007351
Cornell_University,319.3879467257154,3371.881437830913,831.5540647849375,2372.883512096877,1322.2284388789833,933.4742503684882,743.6368693423515,751.4595985163206,1692.9036901478767,1940.5183545117522,149.9778508790164,1026.1619923890794,1028.7279544839296,875.7532413733194,413.3901596190782,1508.8802233886365,1172.8665813722907,1215.2599222912604,570.8091168336413,1397.4592169820276
Duke_University,906.2390229725919,7500.075144366725,3193.834758615551,8297.624500718182,3917.1685649539872,6331.5968785202895,3559.372037947796,3755.1974043725527,4111.424952353816,5457.980750684894,1446.9712954750282,4637.843381166752,1642.7702966594218,4649.41673410873,876.61844687587,1802.3373962086387,6356.218810506522,5398.777853481177,2304.0726269453885,2683.8104097673277
ETH_Zurich,525.3323504012567,815.0998114895357,180.53934350572072,60.252849010337435,128.13571322449926,641.938865420815,233.6003101211539,540.8330859990153,215.20467290311274,330.15695130873837,49.07641689813047,515.3807216379895,121.37548221772997,1192.0451588775825,32.140632974922475,42.204800193636835,861.2363709034131,134.8600757586284,165.36042420074284,715.5389250546942
Georgia_Institute_of_Technology,1031.9971555782997,14654.651126397315,3901.591129276365,6240.585908815576,4907.312976337985,15673.6162909614,5772.689230448716,5012.856781006232,4973.638324401225,9984.279092427138,2263.15768881273,8028.458034681602,1478.0215183732041,6888.048194394654,1629.093414927163,3773.276349011206,10096.449615379952,10542.599776499634,3731.440257074223,9540.33161608845
Harvard_University,110.87495928306605,7510.952040803862,1147.6816303975531,1659.1526241550105,2929.6777026024465,5102.767321000512,1687.693879432414,1840.641045299851,5415.681576226159,3344.7208251226134,573.2084475632238,2273.276556329433,853.2152005299118,1043.9335820163178,876.9846195267496,2146.049908026927,3173.6181316013976,4355.524568031816,810.1423149020052,1843.2215524613543
Imperial_College_London,405.807429220563,3441.904886430746,2064.806864370499,2620.5103905352494,631.0971705737294,4289.729129151146,3084.616681490326,3032.2435578042696,2149.0149316457937,2108.5913713965692,513.3957292170301,2528.663385205813,300.84155148991175,1451.665107396689,916.6605637141197,1381.092909596962,5686.206658815786,1729.8271184264981,1069.9456468120763,2052.142467317011
Johns_Hopkins_University,3121.112543864312,18511.79809275152,8067.70781394218,18214.04755022255,10359.009287846508,6260.193657069887,6897.436840693949,5929.650584088062,6592.114761036188,10828.936397117837,2020.2675222071746,10040.956852393385,1921.5186213130892,7507.4468630796655,2361.6219279229404,2674.144875314802,13086.825826440043,6147.226637956378,7932.652286978445,9247.201265032316
Massachusetts_Institute_of_Technology,940.3073561393243,17894.089412549623,3173.6607753270764,24787.58504089907,9456.918946920438,13340.390754741165,5190.580912584741,3447.9473286010452,3156.3554205598116,11305.471094668874,831.1985158491271,13116.817735625415,654.5319857880298,4737.50175251823,452.6235947510684,1073.0225146484072,9725.146722013744,13990.24802887646,1676.7171776511207,2089.287439111111
McGill_University,69.51970482960738,935.6085750634185,74.65176858887283,512.684751846798,155.5220543415144,846.183877166007,273.2816616423769,172.6278062966064,608.2207859925535,211.61895798409435,156.82230931155726,1135.4944065288785,302.87871862539595,348.53611867221815,80.08939309089749,94.10800061524584,787.1653067685037,1331.5912903851868,171.06336775115705,252.36867652322246
Nanyang_Technological_University,893.5261036739514,2114.823508660788,409.5315547702858,1280.1690243007831,4069.74161057857,5069.908023377972,508.407012139103,740.0341330422392,1452.7561697803005,2456.583135766927,441.6038334895555,2269.9937021818228,99.22654250280782,451.8108961046094,498.6686648472004,375.2048987450728,862.8330228640879,1558.5296061340364,525.878583102366,484.85187309980444
National_University_of_Singapore,221.97200616690208,3655.2570337909674,946.5763934588244,1850.1591249474027,2713.3772575429866,2339.4421830737606,1177.8867871262735,644.037626244057,1560.7392930265423,646.8240366589865,131.85552203028982,2281.0641290277076,132.0392661583679,1046.826902238822,148.83289490508903,249.64245546377884,1581.8465530469205,1157.5191218610214,835.9155149217237,757.1859698665583
Northwestern_University,559.316393285626,3224.4645804447587,1841.8426078244875,1008.4891450150003,1281.3230485632523,7589.8882345331385,2921.6392960766793,2567.640517276323,1879.005238998523,2022.3354067938305,529.3222128004198,3160.2333813705422,305.98539767883636,1433.453090892889,829.8147118905399,752.2556426723451,3107.7212425266484,1393.605322721373,741.4443784940381,4228.914402629532
Peking_University,847.6089506280425,4482.536280257293,919.2966970460106,2496.8424443995154,2240.3634686991795,2460.1831564719205,608.8205484835995,1693.0395481893102,798.7512591032938,5513.617977278187,283.7217917730757,4712.406022031814,353.9798350519011,1263.6623329582328,608.4234212044871,768.9066007662765,1166.7714595713658,958.8043335409246,965.4626214190721,3361.6398969730135
