university_name,x,y
Carnegie Mellon University,0.269455950813634,-0.031201711297035223
Columbia University,-0.2626665956569168,0.04468171000480653
Cornell University,0.042415102232586245,-0.2830514669418335
Duke University,-0.04611821440450939,0.004310111980885267
ETH Zurich,0.009462041656176238,-0.29999994039535527
Georgia Institute of Technology,0.013329214756618944,-0.1182330995798111
Harvard University,0.064272861306866,-0.1128842905163765
Imperial College London,-0.2768989195426305,-0.19721057415008544
Johns Hopkins University,0.0712731285893824,0.03229747712612152
Massachusetts Institute of Technology,-0.04860635836457098,-0.21769601702690125
McGill University,-0.03366929941317614,-0.32336183786392214
Nanyang Technological University,0.1367322885990143,0.15781083106994628
National University of Singapore,0.22629773272917822,0.1347833126783371
Northwestern University,-0.20121303101380666,-0.043026797473430634
Peking University,-0.14568743646144866,0.1987631767988205
Rice University,-0.14305655285716057,-0.1189717948436737
Shanghai Jiao Tong University,0.0640530458060644,0.11124538630247116
Stanford University,0.0555993645102717,0.053294021636247635
Tsinghua University,0.1029840051418259,0.04619728401303291
University College London,-0.18010673468763178,0.01941426396369933
University of British Columbia,0.09658269041482313,-0.06807578355073929
University of California Berkeley,0.2568863234643278,-0.2320316731929779
University of California Los Angeles,-0.06845540371609897,0.11160095781087875
University of California San Diego,0.020852956474207495,0.019855918362736702
University of California San Francisco,0.2068361256803785,-0.20059290528297424
University of Cambridge,0.05745057027514389,0.1433903932571411
University of Hong Kong,0.26603031158447266,-0.1011460840702057
University of Michigan,-0.019130919377009066,-0.053154641389846796
University of Oxford,-0.2177719148722562,-0.19988681375980377
University of Pennsylvania,-0.026671130068095055,-0.2554997205734253
University of Pittsburgh,-0.01946754220195792,0.08664480596780777
University of Sydney,0.04706650520009654,-0.058906231075525284
University of Tokyo,0.16479271328127063,-0.028669750317931175
University of Toronto,-0.14180390294641257,0.28555095195770264
University of Washington,-0.21878546893596648,-0.09097033739089966
