time,journal,doi_info,authors,key words,title,abstract
2023 Jun,Nature,Nature. 2023 Jun;618(7963):126-133. doi: 10.1038/s41586-023-06094-5. Epub 2023 ,"['Lorach, Henri', 'Galvez, Andrea', 'Spagnolo, Valeria', 'Martel, Felix', 'Karakas, Serpil', 'Intering, Nadine', 'Vat, Molywan', 'Faivre, Olivier', 'Harte, Cathal', 'Komi, Salif', 'Ravier, Jimmy', 'Collin, Thibault', 'Coquoz, Laure', 'Sakr, Icare', 'Baaklini, Edeny', 'Hernandez-Charpak, Sergio Daniel', 'Dumont, Gregory', 'Buschman, Rik', 'Buse, Nicholas', 'Denison, Tim', 'van Nes, Ilse', 'Asboth, Leonie', 'Watrin, Anne', 'Struber, Lucas', 'Sauter-Starace, Fabien', 'Langar, Lilia', 'Auboiroux, Vincent', 'Carda, Stefano', 'Chabardes, Stephan', 'Aksenova, Tetiana', 'Demesmaeker, Robin', 'Charvet, Guillaume', 'Bloch, Jocelyne', 'Courtine, Grégoire']","['humans', ' brain physiology', ' brain-computer interfaces', ' electric stimulation therapy instrumentation methods', 'quadriplegia etiology rehabilitation therapy', 'reproducibility of results', ' spinal cord physiology', ' spinal cord injuries complications rehabilitation therapy', ' walking physiology', 'leg physiology', ' neurological rehabilitation instrumentation methods', 'male']",Walking naturally after spinal cord injury using a brain-spine interface.,"A spinal cord injury interrupts the communication between the brain and the region of the spinal cord that produces walking, leading to paralysis(1,2). Here, we restored this communication with a digital bridge between the brain and spinal cord that enabled an individual with chronic tetraplegia to stand and walk naturally in community settings. This brain-spine interface (BSI) consists of fully implanted recording and stimulation systems that establish a direct link between cortical signals(3) and the analogue modulation of epidural electrical stimulation targeting the spinal cord regions involved in the production of walking(4-6). A highly reliable BSI is calibrated within a few minutes. This reliability has remained stable over one year, including during independent use at home. The participant reports that the BSI enables natural control over the movements of his legs to stand, walk, climb stairs and even traverse complex terrains. Moreover, neurorehabilitation supported by the BSI improved neurological recovery. The participant regained the ability to walk with crutches overground even when the BSI was switched off. This digital bridge establishes a framework to restore natural control of movement after paralysis."
2022 Jan 11,Neurology,Neurology. 2022 Jan 11;98(2):65-72. doi: 10.1212/WNL.0000000000013061.,"['Denison, Tim', 'Morrell, Martha J']","['brain physiology', ' brain diseases therapy', ' electric stimulation therapy', ' epilepsy therapy', 'humans', ' neurology']",Neuromodulation in 2035: The Neurology Future Forecasting Series.,"Neuromodulation devices are approved in the United States for the treatment of movement disorders, epilepsy, pain, and depression, and are used off-label for other neurologic indications. By 2035, advances in our understanding of neuroanatomical networks and in the mechanism of action of stimulation, coupled with developments in material science, miniaturization, energy storage, and delivery, will expand the use of neuromodulation devices. Neuromodulation approaches are flexible and modifiable. Stimulation can be targeted to a dysfunctional brain focus, region, or network, and can be delivered as a single treatment, continuously, according to a duty cycle, or in response to physiologic changes. Programming can be titrated and modified based on the clinical response or a physiologic biomarker. In addition to keeping pace with clinical and technological developments, neurologists in 2035 will need to navigate complex ethical and economic considerations to ensure access to neuromodulation technology for a rapidly expanding population of patients. This article provides an overview of systems in use today and those that are anticipated and highlights the opportunities and challenges for the future, some of which are technical, but most of which will be addressed by learning about brain networks, and from rapidly growing experience with neuromodulation devices."
2022 Feb,Nature medicine,Nat Med. 2022 Feb;28(2):260-271. doi: 10.1038/s41591-021-01663-5. Epub 2022 Feb ,"['Rowald, Andreas', 'Komi, Salif', 'Demesmaeker, Robin', 'Baaklini, Edeny', 'Hernandez-Charpak, Sergio Daniel', 'Paoles, Edoardo', 'Montanaro, Hazael', 'Cassara, Antonino', 'Becce, Fabio', 'Lloyd, Bryn', 'Newton, Taylor', 'Ravier, Jimmy', 'Kinany, Nawal', ""D'Ercole, Marina"", 'Paley, Aurélie', 'Hankov, Nicolas', 'Varescon, Camille', 'McCracken, Laura', 'Vat, Molywan', 'Caban, Miroslav', 'Watrin, Anne', 'Jacquet, Charlotte', 'Bole-Feysot, Léa', 'Harte, Cathal', 'Lorach, Henri', 'Galvez, Andrea', 'Tschopp, Manon', 'Herrmann, Natacha', 'Wacker, Moïra', 'Geernaert, Lionel', 'Fodor, Isabelle', 'Radevich, Valentin', 'Van Den Keybus, Katrien', 'Eberle, Grégoire', 'Pralong, Etienne', 'Roulet, Maxime', 'Ledoux, Jean-Baptiste', 'Fornari, Eleonora', 'Mandija, Stefano', 'Mattera, Loan', 'Martuzzi, Roberto', 'Nazarian, Bruno', 'Benkler, Stefan', 'Callegari, Simone', 'Greiner, Nathan', 'Fuhrer, Benjamin', 'Froeling, Martijn', 'Buse, Nik', 'Denison, Tim', 'Buschman, Rik', 'Wende, Christian', 'Ganty, Damien', 'Bakker, Jurriaan', 'Delattre, Vincent', 'Lambert, Hendrik', 'Minassian, Karen', 'van den Berg, Cornelis A T', 'Kavounoudias, Anne', 'Micera, Silvestro', 'Van De Ville, Dimitri', 'Barraud, Quentin', 'Kurt, Erkan', 'Kuster, Niels', 'Neufeld, Esra', 'Capogrosso, Marco', 'Asboth, Leonie', 'Wagner, Fabien B', 'Bloch, Jocelyne', 'Courtine, Grégoire']","['humans', 'leg', 'paralysis rehabilitation', 'spinal cord physiology', ' spinal cord injuries rehabilitation', ' spinal cord stimulation', 'walking physiology']",Activity-dependent spinal cord neuromodulation rapidly restores trunk and leg motor functions after complete paralysis.,Epidural electrical stimulation (EES) targeting the dorsal roots of lumbosacral segments restores walking in people with spinal cord injury (S
2021 Feb,Nature,Nature. 2021 Feb;590(7845):308-314. doi: 10.1038/s41586-020-03180-w. Epub 2021 ,"['Squair, Jordan W', 'Gautier, Matthieu', 'Mahe, Lois', 'Soriano, Jan Elaine', 'Rowald, Andreas', 'Bichat, Arnaud', 'Cho, Newton', 'Anderson, Mark A', 'James, Nicholas D', 'Gandar, Jerome', 'Incognito, Anthony V', 'Schiavone, Giuseppe', 'Sarafis, Zoe K', 'Laskaratos, Achilleas', 'Bartholdi, Kay', 'Demesmaeker, Robin', 'Komi, Salif', 'Moerman, Charlotte', 'Vaseghi, Bita', 'Scott, Berkeley', 'Rosentreter, Ryan', 'Kathe, Claudia', 'Ravier, Jimmy', 'McCracken, Laura', 'Kang, Xiaoyang', 'Vachicouras, Nicolas', 'Fallegger, Florian', 'Jelescu, Ileana', 'Cheng, YunLong', 'Li, Qin', 'Buschman, Rik', 'Buse, Nicolas', 'Denison, Tim', 'Dukelow, Sean', 'Charbonneau, Rebecca', 'Rigby, Ian', 'Boyd, Steven K', 'Millar, Philip J', 'Moraud, Eduardo Martin', 'Capogrosso, Marco', 'Wagner, Fabien B', 'Barraud, Quentin', 'Bezard, Erwan', 'Lacour, Stéphanie P', 'Bloch, Jocelyne', 'Courtine, Grégoire', 'Phillips, Aaron A']","['animals', ' baroreflex', ' biomimetics', 'disease models, animal', 'female', ' hemodynamics', 'humans', 'male', 'neural pathways', 'primates', ' prostheses and implants', 'rats', 'rats, inbred lew', 'spinal cord injuries  physiopathology  therapy', 'sympathetic nervous system cytology physiology']",Neuroprosthetic baroreflex controls haemodynamics after spinal cord injury.,Spinal cord injury (S
2020 Mar,Biomedical signal processing and control,Biomed Signal Process Control. 2020 Mar;57:101743. doi: ,"['Nasseri, Mona', 'Kremen, Vaclav', 'Nejedly, Petr', 'Kim, Inyong', 'Chang, Su-Youne', 'Joon Jo, Hang', 'Guragain, Hari', 'Nelson, Nathaniel', 'Patterson, Edward', 'Sturges, Beverly K', 'Crowe, Chelsea M', 'Denison, Tim', 'Brinkmann, Benjamin H', 'Worrell, Gregory A']","['hierarchical clustering', 'machine learning', 'seizure forecasting']",Semi-supervised Training Data Selection Improves Seizure Forecasting in Canines with Epilepsy.,"OBJECTIVE: Conventional selection of pre-ictal EEG epochs for seizure prediction algorithm training data typically assumes a continuous pre-ictal brain state preceding a seizure. This is carried out by defining a fixed duration, pre-ictal time period before seizures from which pre-ictal training data epochs are uniformly sampled. However, stochastic physiological and pathological fluctuations in EEG data characteristics and underlying brain states suggest that pre-ictal state dynamics may be more complex, and selection of pre-ictal training data segments to reflect this could improve algorithm performance. METHODS: We propose a semi-supervised technique to select pre-ictal training data most distinguishable from interictal EEG according to pre-specified data characteristics. The proposed method uses hierarchical clustering to identify optimal pre-ictal data epochs. RESULTS: In this paper we compare the performance of a seizure forecasting algorithm with and without hierarchical clustering of pre-ictal periods in chronic iEEG recordings from six canines with naturally occurring epilepsy. Hierarchical clustering of training data improved results for Time In Warning (TIW) (0.18 vs. 0.23) and False Positive Rate (FPR) (0.5 vs. 0.59) when evaluated across all subjects (p<0.001, n=6). Results were mixed when evaluating TIW, FPR, and Sensitivity for individual dogs. CONCLUSION: Hierarchical clustering is a helpful method for training data selection overall, but should be evaluated on a subject-wise basis. SIGNIFICANCE: The clustering method can be used to optimize results of forecasting towards sensitivity or TIW or FPR, and therefore can be useful for epilepsy management."
2018 Nov,Nature,Nature. 2018 Nov;563(7729):65-71. doi: 10.1038/s41586-018-0649-2. Epub 2018 Oct ,"['Wagner, Fabien B', 'Mignardot, Jean-Baptiste', 'Le Goff-Mignardot, Camille G', 'Demesmaeker, Robin', 'Komi, Salif', 'Capogrosso, Marco', 'Rowald, Andreas', 'Seáñez, Ismael', 'Caban, Miroslav', 'Pirondini, Elvira', 'Vat, Molywan', 'McCracken, Laura A', 'Heimgartner, Roman', 'Fodor, Isabelle', 'Watrin, Anne', 'Seguin, Perrine', 'Paoles, Edoardo', 'Van Den Keybus, Katrien', 'Eberle, Grégoire', 'Schurch, Brigitte', 'Pralong, Etienne', 'Becce, Fabio', 'Prior, John', 'Buse, Nicholas', 'Buschman, Rik', 'Neufeld, Esra', 'Kuster, Niels', 'Carda, Stefano', 'von Zitzewitz, Joachim', 'Delattre, Vincent', 'Denison, Tim', 'Lambert, Hendrik', 'Minassian, Karen', 'Bloch, Jocelyne', 'Courtine, Grégoire']","['activities of daily living', ' biomedical technology', 'computer simulation', ' electric stimulation therapy', 'electromyography', 'epidural space', 'humans', 'leg innervation physiology physiopathology', 'locomotion physiology', 'male', 'motor neurons physiology', 'muscle, skeletal innervation physiology physiopathology', 'paralysis physiopathology  rehabilitation surgery', 'spinal cord cytology physiology physiopathology', 'spinal cord injuries physiopathology  rehabilitation surgery', 'walking  physiology']",Targeted neurotechnology restores walking in humans with spinal cord injury.,"Spinal cord injury leads to severe locomotor deficits or even complete leg paralysis. Here we introduce targeted spinal cord stimulation neurotechnologies that enabled voluntary control of walking in individuals who had sustained a spinal cord injury more than four years ago and presented with permanent motor deficits or complete paralysis despite extensive rehabilitation. Using an implanted pulse generator with real-time triggering capabilities, we delivered trains of spatially selective stimulation to the lumbosacral spinal cord with timing that coincided with the intended movement. Within one week, this spatiotemporal stimulation had re-established adaptive control of paralysed muscles during overground walking. Locomotor performance improved during rehabilitation. After a few months, participants regained voluntary control over previously paralysed muscles without stimulation and could walk or cycle in ecological settings during spatiotemporal stimulation. These results establish a technological framework for improving neurological recovery and supporting the activities of daily living after spinal cord injury."
