time,journal,doi_info,authors,key words,title,abstract
2021,Frontiers in neuroscience,Front Neurosci. 2021 Sep 21;15:727311. doi: 10.3389/fnins.2021.727311. ,"['Evans, Matthew C', 'Wade, Charles', 'Hohenschurz-Schmidt, David', 'Lally, Pete', 'Ugwudike, Albert', 'Shah, Kamal', 'Bangerter, Neal', 'Sharp, David J', 'Rice, Andrew S C']","['hiv', 'diabetes', 'magnetic resonance imaging', 'neuropathy', 'peripheral nerve']",Magnetic Resonance Imaging as a Biomarker in Diabetic and HIV-Associated Peripheral Neuropathy: A Systematic Review-Based Narrative.,"Background: Peripheral neuropathy can be caused by diabetes mellitus and HIV infection, and often leaves patients with treatment-resistant neuropathic pain. To better treat this condition, we need greater understanding of the pathogenesis, as well as objective biomarkers to predict treatment response. Magnetic resonance imaging (MRI) has a firm place as a biomarker for diseases of the central nervous system (CNS), but until recently has had little role for disease of the peripheral nervous system. Objectives: To review the current state-of-the-art of peripheral nerve MRI in diabetic and HIV symmetrical polyneuropathy. We used systematic literature search methods to identify all studies currently published, using this as a basis for a narrative review to discuss major findings in the literature. We also assessed risk of bias, as well as technical aspects of MRI and statistical analysis. Methods: Protocol was pre-registered on NIHR PROSPERO database. MEDLINE, Web of Science and EMBASE databases were searched from 1946 to 15th August 2020 for all studies investigating either diabetic or HIV neuropathy and MRI, focusing exclusively on studies investigating symmetrical polyneuropathy. The NIH quality assessment tool for observational and cross-sectional cohort studies was used for risk of bias assessment. Results: The search resulted in 18 papers eligible for review, 18 for diabetic neuropathy and 0 for HIV neuropathy. Risk of bias assessment demonstrated that studies generally lacked explicit sample size justifications, and some may be underpowered. Whilst most studies made efforts to balance groups for confounding variables (age, gender, BMI, disease duration), there was lack of consistency between studies. Overall, the literature provides convincing evidence that DPN is associated with larger nerve cross sectional area, T2-weighted hyperintense and hypointense lesions, evidence of nerve oedema on Dixon imaging, decreased fractional anisotropy and increased apparent diffusion coefficient compared with controls. Analysis to date is largely restricted to the sciatic nerve or its branches. Conclusions: There is emerging evidence that various structural MR metrics may be useful as biomarkers in diabetic polyneuropathy, and areas for future direction are discussed. Expanding this technique to other forms of peripheral neuropathy, including HIV neuropathy, would be of value. Systematic Review Registration: (identifier: CRD 42020167322) https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=167322."
2021,Brain communications,Brain Commun. 2021 Jan 2;3(2):fcab006. doi: 10.1093/braincomms/fcab006. ,"['Bourke, Niall J', 'Yanez Lopez, Maria', 'Jenkins, Peter O', 'De Simoni, Sara', 'Cole, James H', 'Lally, Pete', 'Mallas, Emma-Jane', 'Zhang, Hui', 'Sharp, David J']","['diffuse axonal injury', 'diffusion tensor', 'neurite density', 'orientation dispersion', 'traumatic brain injury']",Traumatic brain injury: a comparison of diffusion and volumetric magnetic resonance imaging measures.,"Cognitive impairment after traumatic brain injury remains hard to predict. This is partly because axonal injury, which is of fundamental importance, is difficult to measure clinically. Advances in MRI allow axonal injury to be detected after traumatic brain injury, but the most sensitive approach is unclear. Here, we compare the performance of diffusion tensor imaging, neurite orientation dispersion and density-imaging and volumetric measures of brain atrophy in the identification of white-matter abnormalities after traumatic brain injury. Thirty patients with moderate-severe traumatic brain injury in the chronic phase and 20 age-matched controls had T1-weighted and diffusion MRI. Neuropsychological tests of processing speed, executive functioning and memory were used to detect cognitive impairment. Extensive abnormalities in neurite density index and orientation dispersion index were observed, with distinct spatial patterns. Fractional anisotropy and mean diffusivity also indicated widespread abnormalities of white-matter structure. Neurite density index was significantly correlated with processing speed. Slower processing speed was also related to higher mean diffusivity in the corticospinal tracts. Lower white-matter volumes were seen after brain injury with greater effect sizes compared to diffusion metrics; however, volume was not sensitive to changes in cognitive performance. Volume was the most sensitive at detecting change between groups but was not specific for determining relationships with cognition. Abnormalities in fractional anisotropy and mean diffusivity were the most sensitive diffusion measures; however, neurite density index and orientation dispersion index may be more spatially specific. Lower neurite density index may be a useful metric for examining slower processing speed."
2020 Feb,EBioMedicine,EBioMedicine. 2020 Feb;52:102663. doi: 10.1016/j.ebiom.2020.102663. Epub 2020 Feb ,"['Montaldo, Paolo', 'Ivain, Phoebe', 'Lally, Pete', 'Bassett, Paul', 'Pant, Stuti', 'Oliveira, Vania', 'Mendoza, Josephine', 'Morales, Maria', 'Swamy, Ravi', 'Shankaran, Seetha', 'Thayyil, Sudhin']","['biomarkers', 'brain diseases  complications diagnosis  metabolism', 'brain injuries diagnostic imaging  etiology  pathology', ' energy metabolism', 'female', 'humans', 'infant', 'infant, newborn', 'infant, newborn, diseases', 'magnetic resonance imaging', 'magnetic resonance spectroscopy', 'male', 'sensitivity and specificity', 'thalamus  metabolism', 'white matter diagnostic imaging  pathology', 'biomarkers', 'magnetic resonance imaging', 'magnetic resonance spectroscopy', 'neonatal encephalopathy', 'therapeutic hypothermia']",White matter injury after neonatal encephalopathy is associated with thalamic metabolite perturbations.,"BACKGROUND: Although thalamic magnetic resonance (MR) spectroscopy (MRS) accurately predicts adverse outcomes after neonatal encephalopathy, its utility in infants without MR visible deep brain nuclei injury is not known. We examined thalamic MRS metabolite perturbations in encephalopathic infants with white matter (WM) injury with or without cortical injury and its associations with adverse outcomes. METHODS: We performed a subgroup analysis of all infants recruited to the MARBLE study with isolated WM or mixed WM/cortical injury, but no visible injury to the basal ganglia/thalamus (BGT) or posterior limb of the internal capsule (PLIC). We used binary logistic regression to examine the association of MRS biomarkers with three outcomes (i) WM injury score (1 vs. 2/3); (ii) cortical injury scores (0/1 vs. 2/3); and (iii) adverse outcomes (defined as death, moderate/severe disability) at two years (yes/no). We also assessed the accuracy of MRS for predicting adverse outcome. FINDINGS: Of the 107 infants included in the analysis, five had adverse outcome. Reduced thalamic N-acetylaspartate concentration [NAA] (odds ratio 0.4 (95%"
